Node,Load,Algorithm,Time
H,1200,Algorithm2,65.988740
H,1200,Algorithm2,66.767712
H,1200,Algorithm2,65.690332
H,1200,Algorithm2,65.674443
H,1200,Algorithm3,27.899391
H,1200,Algorithm3,27.592500
H,1200,Algorithm3,27.114459
H,1200,Algorithm3,26.463231
H,1200,Algorithm3,26.499068
H,1200,Algorithm3,26.096866
H,1200,Algorithm3,26.851240
H,1200,Algorithm3,26.179046
H,1200,Algorithm3,27.317792
H,1200,Algorithm3,27.243617
H,1400,Algorithm1,18.694147
H,1400,Algorithm1,18.561487
H,1400,Algorithm1,18.667203
H,1400,Algorithm1,18.776556
H,1400,Algorithm1,18.581402
H,1400,Algorithm1,18.678045
H,1400,Algorithm1,18.639770
H,1400,Algorithm1,18.599097
H,1400,Algorithm1,18.563111
H,1400,Algorithm1,18.610372
H,1400,Algorithm2,118.995018
H,1400,Algorithm2,118.176954
H,1400,Algorithm2,118.523099
H,1400,Algorithm2,119.080470
H,1400,Algorithm2,118.304260
H,1400,Algorithm2,118.191326
H,1400,Algorithm2,118.603097
H,1400,Algorithm2,118.132753
H,1400,Algorithm2,118.350553
H,1400,Algorithm2,117.558115
H,1400,Algorithm3,53.670364
H,1400,Algorithm3,52.974829
H,1400,Algorithm3,53.377927
H,1400,Algorithm3,53.471061
H,1400,Algorithm3,52.585399
H,1400,Algorithm3,53.298497
H,1400,Algorithm3,53.454985
H,1400,Algorithm3,53.169055
H,1400,Algorithm3,52.736242
H,1400,Algorithm3,53.302349
H,1600,Algorithm1,35.004422
H,1600,Algorithm1,34.928112
H,1600,Algorithm1,35.038800
H,1600,Algorithm1,35.141732
H,1600,Algorithm1,34.853369
H,1600,Algorithm1,35.227147
H,1600,Algorithm1,35.165371
H,1600,Algorithm1,35.032376
H,1600,Algorithm1,34.685837
H,1600,Algorithm1,35.048759
H,1600,Algorithm2,192.416419
H,1600,Algorithm2,194.342807
H,1600,Algorithm2,193.889445
H,1600,Algorithm2,193.893499
H,1600,Algorithm2,194.261561
H,1600,Algorithm2,194.881506
H,1600,Algorithm2,194.014763
H,1600,Algorithm2,193.733372
H,1600,Algorithm2,194.635036
H,1600,Algorithm2,194.090999
H,1600,Algorithm3,87.304825
H,1600,Algorithm3,87.118345
H,1600,Algorithm3,86.322626
H,1600,Algorithm3,86.593701
H,1600,Algorithm3,86.511173
H,1600,Algorithm3,86.483861
H,1600,Algorithm3,86.767716
H,1600,Algorithm3,87.400466
H,1600,Algorithm3,86.482192
H,1600,Algorithm3,87.078535
H,1800,Algorithm1,50.080963
H,1800,Algorithm1,51.057655
H,1800,Algorithm1,50.210308
H,1800,Algorithm1,49.935816
H,1800,Algorithm1,49.965536
H,1800,Algorithm1,49.706002
H,1800,Algorithm1,49.838583
H,1800,Algorithm1,49.746496
H,1800,Algorithm1,49.859568
H,1800,Algorithm1,49.895901
H,1800,Algorithm2,290.412300
H,1800,Algorithm2,291.362027
H,1800,Algorithm2,290.886471
H,1800,Algorithm2,290.799418
H,1800,Algorithm2,292.013095
H,1800,Algorithm2,290.816362
H,1800,Algorithm2,290.437129
H,1800,Algorithm2,291.503734
H,1800,Algorithm2,290.598867
H,1800,Algorithm2,291.514369
H,1800,Algorithm3,129.340271
H,1800,Algorithm3,129.752872
H,1800,Algorithm3,128.694679
