A 	 800 	 Algorithm3 	2.352716	
A 	 800 	 Algorithm3 	2.361607	
A 	 800 	 Algorithm3 	2.366985	
A 	 800 	 Algorithm3 	2.349126	
A 	 800 	 Algorithm3 	2.363800	
A 	 1000 	 Algorithm1 	2.048165	
A 	 1000 	 Algorithm1 	2.046739	
A 	 1000 	 Algorithm1 	2.047139	
A 	 1000 	 Algorithm1 	2.046273	
A 	 1000 	 Algorithm1 	2.039229	
A 	 1000 	 Algorithm1 	2.037891	
A 	 1000 	 Algorithm1 	2.041635	
A 	 1000 	 Algorithm1 	2.053352	
A 	 1000 	 Algorithm1 	2.063119	
A 	 1000 	 Algorithm1 	2.049850	
A 	 1000 	 Algorithm2 	12.859494	
A 	 1000 	 Algorithm2 	12.757884	
A 	 1000 	 Algorithm2 	12.815444	
A 	 1000 	 Algorithm2 	12.786806	
A 	 1000 	 Algorithm2 	12.632237	
A 	 1000 	 Algorithm2 	12.724278	
A 	 1000 	 Algorithm2 	12.715635	
A 	 1000 	 Algorithm2 	12.665503	
A 	 1000 	 Algorithm2 	12.720661	
A 	 1000 	 Algorithm2 	12.711876	
A 	 1000 	 Algorithm3 	5.372151	
A 	 1000 	 Algorithm3 	5.396057	
A 	 1000 	 Algorithm3 	5.439379	
A 	 1000 	 Algorithm3 	5.409814	
A 	 1000 	 Algorithm3 	5.520868	
A 	 1000 	 Algorithm3 	5.443973	
A 	 1000 	 Algorithm3 	5.480535	
A 	 1000 	 Algorithm3 	5.431199	
A 	 1000 	 Algorithm3 	5.521651	
A 	 1000 	 Algorithm3 	5.431807	
A 	 1200 	 Algorithm1 	3.534592	
A 	 1200 	 Algorithm1 	3.497287	
A 	 1200 	 Algorithm1 	3.537861	
A 	 1200 	 Algorithm1 	3.570752	
A 	 1200 	 Algorithm1 	3.545297	
A 	 1200 	 Algorithm1 	3.582556	
A 	 1200 	 Algorithm1 	3.540194	
A 	 1200 	 Algorithm1 	3.501573	
A 	 1200 	 Algorithm1 	3.592758	
A 	 1200 	 Algorithm1 	3.514464	
A 	 1200 	 Algorithm2 	26.667540	
A 	 1200 	 Algorithm2 	26.903266	
A 	 1200 	 Algorithm2 	27.030369	
A 	 1200 	 Algorithm2 	26.591133	
A 	 1200 	 Algorithm2 	26.817560	
A 	 1200 	 Algorithm2 	24.331506	
A 	 1200 	 Algorithm2 	23.858202	
A 	 1200 	 Algorithm2 	23.311321	
A 	 1200 	 Algorithm2 	22.697298	
A 	 1200 	 Algorithm2 	22.798488	
A 	 1200 	 Algorithm3 	12.750550	
A 	 1200 	 Algorithm3 	14.215619	
A 	 1200 	 Algorithm3 	14.208324	
A 	 1200 	 Algorithm3 	14.627555	
